status,round,env_group,model_id,hf_path,variant,variant_desc,dataset,n_samples,examiner_model,out_json,out_cache,run_command,log_path,started_at,finished_at,notes
todo,3,internvl,InternVL2-8B,OpenGVLab/InternVL2-8B,v19d9-original,v19d9 unchanged (2 contexts/image default),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-original_gpt54/InternVL2-8B.json,work_dirs/svg500/v19d9-original_gpt54/InternVL2-8B_cache.json,python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'OpenGVLab/InternVL2-8B' --outfile  'work_dirs/svg500/v19d9-original_gpt54/InternVL2-8B.json' --cache_file 'work_dirs/svg500/v19d9-original_gpt54/InternVL2-8B_cache.json' --max_rounds 20,work_dirs/logs_svg500_v19d9-original_gpt54/InternVL2-8B.log,,,
todo,3,internvl,InternVL2_5-8B,OpenGVLab/InternVL2_5-8B,v19d9-original,v19d9 unchanged (2 contexts/image default),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-original_gpt54/InternVL2_5-8B.json,work_dirs/svg500/v19d9-original_gpt54/InternVL2_5-8B_cache.json,python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'OpenGVLab/InternVL2_5-8B' --outfile  'work_dirs/svg500/v19d9-original_gpt54/InternVL2_5-8B.json' --cache_file 'work_dirs/svg500/v19d9-original_gpt54/InternVL2_5-8B_cache.json' --max_rounds 20,work_dirs/logs_svg500_v19d9-original_gpt54/InternVL2_5-8B.log,,,
todo,3,internvl,InternVL3-8B-Instruct,OpenGVLab/InternVL3-8B-Instruct,v19d9-original,v19d9 unchanged (2 contexts/image default),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-original_gpt54/InternVL3-8B-Instruct.json,work_dirs/svg500/v19d9-original_gpt54/InternVL3-8B-Instruct_cache.json,python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'OpenGVLab/InternVL3-8B-Instruct' --outfile  'work_dirs/svg500/v19d9-original_gpt54/InternVL3-8B-Instruct.json' --cache_file 'work_dirs/svg500/v19d9-original_gpt54/InternVL3-8B-Instruct_cache.json' --max_rounds 20,work_dirs/logs_svg500_v19d9-original_gpt54/InternVL3-8B-Instruct.log,,,
todo,3,internvl,InternVL2-8B,OpenGVLab/InternVL2-8B,v19d9-1ctx-ablation,v19d9 with CONTEXT_PROMPT patched to 1 context/image (1/5 ablation),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-1ctx-ablation_gpt54/InternVL2-8B.json,work_dirs/svg500/v19d9-1ctx-ablation_gpt54/InternVL2-8B_cache.json,"# requires CONTEXT_PROMPT patched to 1 context (see RERUN_CEDI_GPT54.md §6)
python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'OpenGVLab/InternVL2-8B' --outfile  'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/InternVL2-8B.json' --cache_file 'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/InternVL2-8B_cache.json' --max_rounds 20",work_dirs/logs_svg500_v19d9-1ctx-ablation_gpt54/InternVL2-8B.log,,,
todo,3,internvl,InternVL2_5-8B,OpenGVLab/InternVL2_5-8B,v19d9-1ctx-ablation,v19d9 with CONTEXT_PROMPT patched to 1 context/image (1/5 ablation),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-1ctx-ablation_gpt54/InternVL2_5-8B.json,work_dirs/svg500/v19d9-1ctx-ablation_gpt54/InternVL2_5-8B_cache.json,"# requires CONTEXT_PROMPT patched to 1 context (see RERUN_CEDI_GPT54.md §6)
python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'OpenGVLab/InternVL2_5-8B' --outfile  'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/InternVL2_5-8B.json' --cache_file 'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/InternVL2_5-8B_cache.json' --max_rounds 20",work_dirs/logs_svg500_v19d9-1ctx-ablation_gpt54/InternVL2_5-8B.log,,,
todo,3,internvl,InternVL3-8B-Instruct,OpenGVLab/InternVL3-8B-Instruct,v19d9-1ctx-ablation,v19d9 with CONTEXT_PROMPT patched to 1 context/image (1/5 ablation),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-1ctx-ablation_gpt54/InternVL3-8B-Instruct.json,work_dirs/svg500/v19d9-1ctx-ablation_gpt54/InternVL3-8B-Instruct_cache.json,"# requires CONTEXT_PROMPT patched to 1 context (see RERUN_CEDI_GPT54.md §6)
python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'OpenGVLab/InternVL3-8B-Instruct' --outfile  'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/InternVL3-8B-Instruct.json' --cache_file 'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/InternVL3-8B-Instruct_cache.json' --max_rounds 20",work_dirs/logs_svg500_v19d9-1ctx-ablation_gpt54/InternVL3-8B-Instruct.log,,,
todo,4,gemma3,gemma-3-12b-it,google/gemma-3-12b-it,v19d9-original,v19d9 unchanged (2 contexts/image default),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-original_gpt54/gemma-3-12b-it.json,work_dirs/svg500/v19d9-original_gpt54/gemma-3-12b-it_cache.json,python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'google/gemma-3-12b-it' --outfile  'work_dirs/svg500/v19d9-original_gpt54/gemma-3-12b-it.json' --cache_file 'work_dirs/svg500/v19d9-original_gpt54/gemma-3-12b-it_cache.json' --max_rounds 20,work_dirs/logs_svg500_v19d9-original_gpt54/gemma-3-12b-it.log,,,
todo,4,gemma3,gemma-3-12b-it,google/gemma-3-12b-it,v19d9-1ctx-ablation,v19d9 with CONTEXT_PROMPT patched to 1 context/image (1/5 ablation),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-1ctx-ablation_gpt54/gemma-3-12b-it.json,work_dirs/svg500/v19d9-1ctx-ablation_gpt54/gemma-3-12b-it_cache.json,"# requires CONTEXT_PROMPT patched to 1 context (see RERUN_CEDI_GPT54.md §6)
python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'google/gemma-3-12b-it' --outfile  'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/gemma-3-12b-it.json' --cache_file 'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/gemma-3-12b-it_cache.json' --max_rounds 20",work_dirs/logs_svg500_v19d9-1ctx-ablation_gpt54/gemma-3-12b-it.log,,,
todo,5,opera,opera-llava-1.5,/path/to/data/checkpoints/opera/llava-1.5,v19d9-original,v19d9 unchanged (2 contexts/image default),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-original_gpt54/opera-llava-1.5.json,work_dirs/svg500/v19d9-original_gpt54/opera-llava-1.5_cache.json,python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path '/path/to/data/checkpoints/opera/llava-1.5' --outfile  'work_dirs/svg500/v19d9-original_gpt54/opera-llava-1.5.json' --cache_file 'work_dirs/svg500/v19d9-original_gpt54/opera-llava-1.5_cache.json' --max_rounds 20,work_dirs/logs_svg500_v19d9-original_gpt54/opera-llava-1.5.log,,,
todo,5,opera,opera-llava-1.5,/path/to/data/checkpoints/opera/llava-1.5,v19d9-1ctx-ablation,v19d9 with CONTEXT_PROMPT patched to 1 context/image (1/5 ablation),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-1ctx-ablation_gpt54/opera-llava-1.5.json,work_dirs/svg500/v19d9-1ctx-ablation_gpt54/opera-llava-1.5_cache.json,"# requires CONTEXT_PROMPT patched to 1 context (see RERUN_CEDI_GPT54.md §6)
python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path '/path/to/data/checkpoints/opera/llava-1.5' --outfile  'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/opera-llava-1.5.json' --cache_file 'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/opera-llava-1.5_cache.json' --max_rounds 20",work_dirs/logs_svg500_v19d9-1ctx-ablation_gpt54/opera-llava-1.5.log,,,
